,TV,sales
0,230.1,22.1
1,44.5,10.4
2,17.2,9.3
3,151.5,18.5
4,180.8,12.9
5,8.7,7.2
6,57.5,11.8
7,120.2,13.2
8,8.6,4.8
9,199.8,10.6
10,66.1,8.6
11,214.7,17.4
12,23.8,9.2
13,97.5,9.7
14,204.1,19.0
15,195.4,22.4
16,67.8,12.5
17,281.4,24.4
18,69.2,11.3
19,147.3,14.6
20,218.4,18.0
21,237.4,12.5
22,13.2,5.6
23,228.3,15.5
24,62.3,9.7
25,262.9,12.0
26,142.9,15.0
27,240.1,15.9
28,248.8,18.9
29,70.6,10.5
30,292.9,21.4
31,112.9,11.9
32,97.2,9.6
33,265.6,17.4
34,95.7,9.5
35,290.7,12.8
36,266.9,25.4
37,74.7,14.7
38,43.1,10.1
39,228.0,21.5
40,202.5,16.6
41,177.0,17.1
42,293.6,20.7
43,206.9,12.9
44,25.1,8.5
45,175.1,14.9
46,89.7,10.6
47,239.9,23.2
48,227.2,14.8
49,66.9,9.7
50,199.8,11.4
51,100.4,10.7
52,216.4,22.6
53,182.6,21.2
54,262.7,20.2
55,198.9,23.7
56,7.3,5.5
57,136.2,13.2
58,210.8,23.8
59,210.7,18.4
60,53.5,8.1
61,261.3,24.2
62,239.3,15.7
63,102.7,14.0
64,131.1,18.0
65,69.0,9.3
66,31.5,9.5
67,139.3,13.4
68,237.4,18.9
69,216.8,22.3
70,199.1,18.3
71,109.8,12.4
72,26.8,8.8
73,129.4,11.0
74,213.4,17.0
75,16.9,8.7
76,27.5,6.9
77,120.5,14.2
78,5.4,5.3
79,116.0,11.0
80,76.4,11.8
81,239.8,12.3
82,75.3,11.3
83,68.4,13.6
84,213.5,21.7
85,193.2,15.2
86,76.3,12.0
87,110.7,16.0
88,88.3,12.9
89,109.8,16.7
90,134.3,11.2
91,28.6,7.3
92,217.7,19.4
93,250.9,22.2
94,107.4,11.5
95,163.3,16.9
96,197.6,11.7
97,184.9,15.5
98,289.7,25.4
99,135.2,17.2
100,222.4,11.7
101,296.4,23.8
102,280.2,14.8
103,187.9,14.7
104,238.2,20.7
105,137.9,19.2
106,25.0,7.2
107,90.4,8.7
108,13.1,5.3
109,255.4,19.8
110,225.8,13.4
111,241.7,21.8
112,175.7,14.1
113,209.6,15.9
114,78.2,14.6
115,75.1,12.6
116,139.2,12.2
117,76.4,9.4
118,125.7,15.9
119,19.4,6.6
120,141.3,15.5
121,18.8,7.0
122,224.0,11.6
123,123.1,15.2
124,229.5,19.7
125,87.2,10.6
126,7.8,6.6
127,80.2,8.8
128,220.3,24.7
129,59.6,9.7
130,0.7,1.6
131,265.2,12.7
132,8.4,5.7
133,219.8,19.6
134,36.9,10.8
135,48.3,11.6
136,25.6,9.5
137,273.7,20.8
138,43.0,9.6
139,184.9,20.7
140,73.4,10.9
141,193.7,19.2
142,220.5,20.1
143,104.6,10.4
144,96.2,11.4
145,140.3,10.3
146,240.1,13.2
147,243.2,25.4
148,38.0,10.9
149,44.7,10.1
150,280.7,16.1
151,121.0,11.6
152,197.6,16.6
153,171.3,19.0
154,187.8,15.6
155,4.1,3.2
156,93.9,15.3
157,149.8,10.1
158,11.7,7.3
159,131.7,12.9
160,172.5,14.4
161,85.7,13.3
162,188.4,14.9
163,163.5,18.0
164,117.2,11.9
165,234.5,11.9
166,17.9,8.0
167,206.8,12.2
168,215.4,17.1
169,284.3,15.0
170,50.0,8.4
171,164.5,14.5
172,19.6,7.6
173,168.4,11.7
174,222.4,11.5
175,276.9,27.0
176,248.4,20.2
177,170.2,11.7
178,276.7,11.8
179,165.6,12.6
180,156.6,10.5
181,218.5,12.2
182,56.2,8.7
183,287.6,26.2
184,253.8,17.6
185,205.0,22.6
186,139.5,10.3
187,191.1,17.3
188,286.0,15.9
189,18.7,6.7
190,39.5,10.8
191,75.5,9.9
192,17.2,5.9
193,166.8,19.6
194,149.7,17.3
195,38.2,7.6
196,94.2,9.7
197,177.0,12.8
198,283.6,25.5
199,232.1,13.4
